question_id,conversation_starter_id,subcategory (auto-filled),insight_subject,insight_direction,question_stem,question_type,status,image_per_row,multi_select,used_for_conversation_starters,used_on_day_0,question_order_per_subcategory,answer_options,,,,,,,,,,,,,,,,ondevice_model_tags
QID344,CSID186,Hobbies & Interest,Gaming compatibility,WHO_I_AM,You enjoy watching others play video games. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID345,CSID187,Hobbies & Interest,Gaming compatibility,WHO_I_AM,How often do you play video games?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Frequently,Never,Sometimes,Regularly,,,,,,,,,,,,,
QID346,CSID188,Hobbies & Interest,Gaming compatibility,WHO_I_WANT,Do you want a partner who plays video games?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Makes no difference to me,I'd love if they did,I'd prefer they don't,Other,,,,,,,,,,,,,
QID348,CSID190,Hobbies & Interest,Gaming compatibility,WHO_I_AM,What kinds of games are you into? Choose all that apply.,MCQ_TEXT,ACTIVE,,TRUE,TRUE,FALSE,99999,Video games,Turn-based strategy or MMORPGs,"Board, card, or tabletop games",I don't like games,Puzzle or casual games,,,,,,,,,,,,
QID349,CSID191,Fitness,Fitness/Sports,WHO_I_AM,What outdoor sports do you enjoy? Choose all that apply.,MCQ_IMAGE,ACTIVE,4,TRUE,TRUE,FALSE,99999,Kayak,Archery,MountainBike,RiverRaft,Ski,Snowboard,Hockey,FigureSkate,ATV,Fishing,Golf,Tennis,Croquet,Frisbee,Cornhole,Soccer,
QID350,CSID192,Outdoor & Adventure,Travel compatibility,WHO_I_AM,You have a passport and you're ready to use it. ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID351,CSID193,Career,Work vibes,WHO_I_AM,You regularly travel for work.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID352,,Career,Work vibes,WHO_I_WANT,You prefer dating someone who doesn't travel a lot for work.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID353,,Outdoor & Adventure,Travel compatibility,WHO_I_WANT,You would be okay with dating someone who has a fear of flying.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID355,CSID195,Outdoor & Adventure,Travel compatibility,WHO_I_AM,Do you usually stay in a hotel or hostel?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Hotel,Hostel,,,,,,,,,,,,,,,
QID356,CSID196,Outdoor & Adventure,Travel compatibility,WHO_I_AM,You would love to live on a boat.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID357,CSID197,Entertainment,Favorite Movie,WHO_I_AM,What types of movies do you like? Choose all that apply.,MCQ_TEXT,ACTIVE,,TRUE,TRUE,TRUE,99999,Comedy,Sci-fi adventure,Historical drama,Horror or thriller,Animated,,,,,,,,,,,,
QID358,,Outdoor & Adventure,Travel compatibility,WHO_I_AM,What vacation sounds more your speed?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Summit a mountain,Visiting the tourist spots,Spa treatments at a resort,Read a book on the beach,Other,,,,,,,,,,,,
QID360,CSID200,Outdoor & Adventure,Travel compatibility,WHO_I_AM,"When you travel, do you plan an itinerary?",MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Yes, I love a solid plan","No, I prefer to let it unfold",I don't travel that much,,,,,,,,,,,,,,
QID362,,Entertainment,Music,WHO_I_AM,"When my favorite song comes on, I immediately sing along.",BINARY_TEXT,ACTIVE,,FALSE,FALSE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID363,CSID202,Personality,Personality,WHO_I_AM,"Are you the ""planner"" in your family or friend group?",MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"No, and I love it","Yes, but it stresses me out","No, I tend to go with the flow",I prefer to do things alone,,,,,,,,,,,,,
QID364,CSID203,Personality,Ambition,WHO_I_AM,Do you strive for promotions at work?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Of course, it's all about the climb","Not really, I'm happy where I am","If it's meant to be, it will be",,,,,,,,,,,,,,
QID365,CSID204,Personality,Ambition,WHO_I_AM,Thoughts on retiring early?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,A goal I’m working toward,Nice if it happens,Fast way to die of boredom,Retire? In this economy?,,,,,,,,,,,,,
QID366,CSID205,Pets,Pet compatibility,WHO_I_AM,Are you allergic to cats or dogs?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Yes, cats","Yes, dogs","Yes, both cats and dogs",Not allergic,,,,,,,,,,,,,
QID367,CSID206,Pets,Pet compatibility,WHO_I_AM,Would you adopt a pet with a partner?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,Maybe,,,,,,,,,,,,,,
QID369,CSID208,Pets,Pet friendliness,WHO_I_AM,"It's fine to bring a dog on a date. Better, even!",BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID37,,Sex,Sex adventurousness,WHO_I_WANT,"In the intimacy department, I'd rather keep it more vanilla.",BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID372,CSID211,Political views,Political alignment,WHO_I_AM,Should abortion be legal?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Yes, always",With some restrictions,No,Prefer not to say,,,,,,,,,,,,,
QID375,CSID212,Hobbies & Interest,Creative date preferences,WHO_I_AM,What would you enjoy the most?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Safari zone at a zoo,Penguin shows at an aquarium,Peaceful botanical garden,Just a regular day at a cafe,,,,,,,,,,,,,
QID376,,Relationship expectations,Independence,WHO_I_AM,Would you let your partner go through your phone?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No way,"Yes, of course",Only if they let me go through theirs,Prefer not to say,,,,,,,,,,,,,
QID378,,Religion,Religion,WHO_I_AM,You're a spiritual person.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID380,CSID214,Religion,Religion,WHO_I_AM,Do you observe religious holidays?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"No, I don't observe any","Yes, but more for tradition","Some, but not all",I actively observe most or all,Prefer not to say,,,,,,,,,,,,
QID382,,Religion,Religion,WHO_I_WANT,Do you want a partner who shares your religion?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Very much so,Doesn't matter to me,"I’m not religious, but I don’t mind if they are",I prefer they aren’t religious,Not sure,,,,,,,,,,,,
QID386,,Sex,Expectations around sex,WHO_I_WANT,How do you feel about having friends with benefits?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Not for me,Yes please,"Not sure, but I'm open to it",Prefer not to say,,,,,,,,,,,,,
QID388,,Sex,Expectations around sex,WHO_I_AM,Is a partner’s sexual history important to you?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Not at all,Maybe a little,Yes,Prefer not to say,,,,,,,,,,,,,
QID391,,Sex,Sex adventurousness,WHO_I_AM,Is emotional connection important during sex?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,"It's a plus, but not necessary",Absolutely,Nope,Prefer not to say,,,,,,,,,,,,,
QID392,,Sex,Expectations around sex,WHO_I_AM,How often would you prefer to have sex?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Every day,A few times a week,Once or twice a month,Doesn't matter. Quality over quantity!,Prefer not to say,,,,,,,,,,,,
QID393,,Sex,Sex adventurousness,WHO_I_AM,I'm definitely on the kinky side.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID395,,Sex,Sex adventurousness,WHO_I_WANT,What kind of energy do you prefer from a partner during sex?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,They take charge,They follow my lead,We're equal partners,Prefer not to say,,,,,,,,,,,,,
QID399,,Smoking,Smoking,WHO_I_AM,Do you like smoking hookah?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,I'd try it,No,Yes,Prefer not to say,,,,,,,,,,,,,
QID4,CSID218,Dating expectations,Dating intention,WHO_I_AM,5 dates this week sounds great!,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID402,,Arts & Science,Artistry,WHO_I_WANT,Do you want to date someone artistic?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,I'd consider it,Yes. Artistic passion is attractive!,Not really not my type,Not sure,,,,,,,,,,,,,
QID403,,Entertainment,Music,WHO_I_WANT,Musical talent is a turn on.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID407,CSID220,Food & Cooking,Dining compatibility,WHO_I_AM,I love hanging out at cafes ,BINARY_TEXT,ACTIVE,,FALSE,TRUE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID408,CSID221,Relationship expectations,Relationship Values,WHO_I_WANT,It's really important for you that your partner…,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Can pick up on subtle signals,Respects different point of view,Is a good communicator,Appreciates my sense of humor,,,,,,,,,,,,,
QID409,,Open-mindedness,Open-mindedness,WHO_I_AM,You hesitate when trying new activities.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID411,,Career,Career priorities,WHO_I_WANT,Workaholics bother me.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID412,,Career,Career priorities,WHO_I_WANT,I'd want my partner to stop working when we start a family.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID413,,Spendy/thrifty,Money talks,WHO_I_AM,Who would you prefer to be the stay-at-home parent?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Me,My partner,,,,,,,,,,,,,,,
QID414,,Cleanliness,Organization,WHO_I_WANT,Being messy is a dealbreaker.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID416,,Communication,Conflict resolution,WHO_I_WANT,"After an argument is over, how should your partner act?",MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Help me laugh it off,Get me a gift or kind gesture,Cuddle or get intimate,Give me space for a while,None of the above,,,,,,,,,,,,
QID417,CSID223,Communication,Conversation medium,WHO_I_WANT,Do you think people should use full sentences over text?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Yes. Good grammar is important,"In some situations, but not always",No lol,,,,,,,,,,,,,,
QID418,CSID224,Communication,Conversation medium,WHO_I_WANT,"Do you prefer phone calls, video calls, or text messages?",MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Phone calls,Video calls,Text messages,,,,,,,,,,,,,,
QID420,CSID225,Dating expectations,Dating intention,WHO_I_WANT,I'd be fine dating someone who doesn't want to marry.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID423,CSID226,Entertainment,Favorite Movie,WHO_I_WANT,Does it annoy you when other people talk during movies?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Yes, I need silence","No, I don’t mind","It’s fine, I talk too!",,,,,,,,,,,,,,
QID424,CSID227,Arts & Science,Artistry,WHO_I_AM,I would date someone who isn't artistic.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID425,,Fitness,Active lifestyle compatibility,WHO_I_WANT,I love having a partner who motivates me to work out.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID426,CSID228,Fitness,Fitness/Sports,WHO_I_WANT,I'd love to have a partner who plays sports with me.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID427,CSID229,Fitness,Fitness/Sports,WHO_I_WANT,I’d be interested in joining a sports league with a partner.,BINARY_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID428,,Food & Cooking,Dietary restrictions,WHO_I_WANT,I’d like to date a vegan.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,TRUE,99999,No,Yes,,,,,,,,,,,,,,,
QID429,,Food & Cooking,Dietary restrictions,WHO_I_WANT,I'm okay with dating a picky eater.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID431,,Open-mindedness,Cultural Background,WHO_I_WANT,I'd prefer to date someone from my cultural background.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID432,,Open-mindedness,Cultural Background,WHO_I_WANT,Would you date someone from a very different culture?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,"Maybe, if it doesn’t conflict with my culture",I would be open to it,Probably not,Prefer not to say,,,,,,,,,,,,,
QID433,,Open-mindedness,Cultural Background,WHO_I_AM,I would adopt different cultural practices for the right person.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID435,CSID231,Open-mindedness,Open-mindedness,WHO_I_WANT,Lots of piercings?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Turn on,Turn off,,,,,,,,,,,,,,,
QID436,,Open-mindedness,Open-mindedness,WHO_I_WANT,Lots of tattoos?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Turn on,Turn off,I don't mind,Not sure,,,,,,,,,,,,,
QID437,,Open-mindedness,Open-mindedness,WHO_I_WANT,Brightly dyed hair?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Turn on,Turn off,Not sure,,,,,,,,,,,,,,
QID438,CSID232,Outdoor & Adventure,Adventurousness,WHO_I_WANT,Do you prefer to do indoor our outdoor activities with your partner?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Indoor activities,Outdoor activities,I like both,,,,,,,,,,,,,,
QID439,CSID233,Outdoor & Adventure,Outdoor experiences,WHO_I_AM,How does an all-day hike sound?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,"Doable, I'll live",Awesome. Let’s go!,Like my nightmare,Not sure,,,,,,,,,,,,,
QID442,,Personality,Ambition,WHO_I_WANT,Which would you prefer in a partner?,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,They’re content with what they have,They’re driven to get ahead,Not sure,,,,,,,,,,,,,,
QID443,,Personality,Extroversion compatibility,WHO_I_WANT,I'd love to have an extroverted partner,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID444,,Personality,Extroversion compatibility,WHO_I_WANT,People with “big” or “loud” personalities are…,MCQ_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,Annoying,Amusing,Not sure,,,,,,,,,,,,,,
QID445,,Personality,Extroversion compatibility,WHO_I_WANT,I'd be okay dating a very shy person.,BINARY_TEXT,ACTIVE,,FALSE,FALSE,FALSE,99999,No,Yes,,,,,,,,,,,,,,,
QID448,CSID237,Fitness,Active lifestyle compatibility,WHO_I_AM,What time do you usually work out?,MCQ_TEXT,ACTIVE,,FALSE,TRUE,FALSE,99999,Early morning,Mid-morning,Afternoon,Evening,I don't workout,,,,,,,,,,,,
