source,question_id,insight_subject (auto-filled),insight_direction (auto-filled),raw_value_stem (auto-filled),descriptor_interest_id,raw_value_answer_option (auto-filled),mapped_to_insight_tag,insight_tag_suggestions
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Athletico-PR,sec_1 - de_15 - de_15_2,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Sport,sec_1 - de_15 - de_15_20,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Avaí,sec_1 - de_15 - de_15_21,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Botafogo,sec_1 - de_15 - de_15_22,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Brasil de Pelotas,sec_1 - de_15 - de_15_23,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Brusque,sec_1 - de_15 - de_15_24,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Confiança,sec_1 - de_15 - de_15_25,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Coritiba,sec_1 - de_15 - de_15_26,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - CRB,sec_1 - de_15 - de_15_27,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Cruzeiro,sec_1 - de_15 - de_15_28,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - CSA,sec_1 - de_15 - de_15_29,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Atlético-GO,sec_1 - de_15 - de_15_3,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Goiás,sec_1 - de_15 - de_15_30,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Guarani,sec_1 - de_15 - de_15_31,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Londrina,sec_1 - de_15 - de_15_32,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Náutico,sec_1 - de_15 - de_15_33,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Operário-PR,sec_1 - de_15 - de_15_34,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Ponte Preta,sec_1 - de_15 - de_15_35,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Remo,sec_1 - de_15 - de_15_36,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Sampaio Correa,sec_1 - de_15 - de_15_37,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Vasco,sec_1 - de_15 - de_15_38,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Vila Nova,sec_1 - de_15 - de_15_39,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Atlético-MG,sec_1 - de_15 - de_15_4,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Vitória,sec_1 - de_15 - de_15_40,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Criciúma,sec_1 - de_15 - de_15_41,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Figueirense,sec_1 - de_15 - de_15_42,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Paraná,sec_1 - de_15 - de_15_43,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Paysandu,sec_1 - de_15 - de_15_44,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Santa Cruz,sec_1 - de_15 - de_15_45,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Manchester United,sec_1 - de_15 - de_15_46,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Manchester City,sec_1 - de_15 - de_15_47,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Liverpool,sec_1 - de_15 - de_15_48,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Chelsea,sec_1 - de_15 - de_15_49,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Bahia,sec_1 - de_15 - de_15_5,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Spurs,sec_1 - de_15 - de_15_50,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Arsenal,sec_1 - de_15 - de_15_51,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Leicester,sec_1 - de_15 - de_15_52,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Real Madrid,sec_1 - de_15 - de_15_53,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Barcelona,sec_1 - de_15 - de_15_54,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Bayern Munich,sec_1 - de_15 - de_15_55,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Dortmund,sec_1 - de_15 - de_15_57,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Juventus,sec_1 - de_15 - de_15_58,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Milan AC,sec_1 - de_15 - de_15_59,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Bragantino,sec_1 - de_15 - de_15_6,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Inter Milan,sec_1 - de_15 - de_15_60,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Paris Saint-Germain,sec_1 - de_15 - de_15_61,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Muangtong,sec_1 - de_15 - de_15_62,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Buriram,sec_1 - de_15 - de_15_63,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Vietnam national soccer team,sec_1 - de_15 - de_15_64,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Ceará,sec_1 - de_15 - de_15_7,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Chapecoense,sec_1 - de_15 - de_15_8,,Enjoys football,
descriptor,,,WHO_I_AM,Lifestyle - Football Team - Corinthians,sec_1 - de_15 - de_15_9,,Enjoys football,
descriptor,,Love language,WHO_I_AM,Lifestyle - Love Language - Words of affirmation,sec_1 - de_16 - de_16_1,,Appreciates verbal encouragement,
descriptor,,Love language,WHO_I_AM,Lifestyle - Love Language - Quality time,sec_1 - de_16 - de_16_2,,Prioritizes spending time together,
descriptor,,Love language,WHO_I_AM,Lifestyle - Love Language - Receiving gifts,sec_1 - de_16 - de_16_3,,Cherishes thoughtful gifts,
descriptor,,Love language,WHO_I_AM,Lifestyle - Love Language - Acts of service,sec_1 - de_16 - de_16_4,,Values helpful actions,
descriptor,,Love language,WHO_I_AM,Lifestyle - Love Language - Physical touch,sec_1 - de_16 - de_16_5,,Values physical affection,
descriptor,,Daily routine compatibility,WHO_I_AM,Lifestyle - Sleeping Habits - Early bird,sec_1 - de_17 - de_17_1,,Early morning riser,
descriptor,,Daily routine compatibility,WHO_I_AM,Lifestyle - Sleeping Habits - Night owl,sec_1 - de_17 - de_17_2,,Active at night,
descriptor,,Daily routine compatibility,WHO_I_AM,Lifestyle - Sleeping Habits - In a spectrum,sec_1 - de_17 - de_17_3,,Open to different sleep schedules,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Sushi,sec_1 - de_18 - de_18_1,,Sushi lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Rice omelet,sec_1 - de_18 - de_18_10,,Japanese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Hamburger,sec_1 - de_18 - de_18_11,,Burger lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Gapao rice,sec_1 - de_18 - de_18_12,,Thai food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Paella,sec_1 - de_18 - de_18_13,,Spanish food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Bread,sec_1 - de_18 - de_18_14,,Global foodie explorer,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Pancake,sec_1 - de_18 - de_18_15,,Enjoys pancake,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Chocolate,sec_1 - de_18 - de_18_16,,Enjoys chocolate,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Cheesecake,sec_1 - de_18 - de_18_17,,Enjoys cheesecake,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Ice cream,sec_1 - de_18 - de_18_18,,Enjoys ice cream,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Shaved ice,sec_1 - de_18 - de_18_19,,Enjoys shaved ice,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Japanese barbeque,sec_1 - de_18 - de_18_2,,Eats meat,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Bubble tea,sec_1 - de_18 - de_18_20,,Boba tea lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Baked sweet potato,sec_1 - de_18 - de_18_21,,Global foodie explorer,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Gimbap,sec_1 - de_18 - de_18_22,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Samgyeopsal,sec_1 - de_18 - de_18_23,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Gopchang/Makchang,sec_1 - de_18 - de_18_24,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Doenjang jjigae,sec_1 - de_18 - de_18_25,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Raw meat,sec_1 - de_18 - de_18_26,,Eats meat,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Budae jjigae,sec_1 - de_18 - de_18_27,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Malatang,sec_1 - de_18 - de_18_28,,Chinese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Malaxiangguo,sec_1 - de_18 - de_18_29,,Chinese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Korean barbeque,sec_1 - de_18 - de_18_3,,Eats meat,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Tteokbokki,sec_1 - de_18 - de_18_30,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Bibimbap,sec_1 - de_18 - de_18_31,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Jjajangmyeon,sec_1 - de_18 - de_18_32,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Jjamppong,sec_1 - de_18 - de_18_33,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Pajeon,sec_1 - de_18 - de_18_34,,Korean food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Dumplings,sec_1 - de_18 - de_18_35,,Global foodie explorer,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Pho,sec_1 - de_18 - de_18_36,,Vietnamese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Bun cha,sec_1 - de_18 - de_18_37,,Vietnamese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Spring rolls,sec_1 - de_18 - de_18_38,,Vietnamese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Banh mi,sec_1 - de_18 - de_18_39,,Vietnamese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Ramen,sec_1 - de_18 - de_18_4,,Ramen lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Steak,sec_1 - de_18 - de_18_40,,Eats meat,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Fried chicken,sec_1 - de_18 - de_18_41,,Eats chicken,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Snails,sec_1 - de_18 - de_18_42,,Global foodie explorer,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Sashimi,sec_1 - de_18 - de_18_43,,Japanese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Pizza,sec_1 - de_18 - de_18_44,,Pizza lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Pasta,sec_1 - de_18 - de_18_45,,Global foodie explorer,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Pav bhaji,sec_1 - de_18 - de_18_46,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Rajma chawal,sec_1 - de_18 - de_18_47,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Vada pav,sec_1 - de_18 - de_18_48,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Biryani,sec_1 - de_18 - de_18_49,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Pot-sticker,sec_1 - de_18 - de_18_5,,Chinese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Pani puri,sec_1 - de_18 - de_18_50,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Butter chicken,sec_1 - de_18 - de_18_51,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Dosa,sec_1 - de_18 - de_18_52,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Fried rice,sec_1 - de_18 - de_18_53,,Chinese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Street food,sec_1 - de_18 - de_18_54,,Street food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Maggi,sec_1 - de_18 - de_18_55,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Khichdi,sec_1 - de_18 - de_18_56,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Fries,sec_1 - de_18 - de_18_57,,Fries lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Momos,sec_1 - de_18 - de_18_58,,Momos lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Curry puff,sec_1 - de_18 - de_18_59,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Curry,sec_1 - de_18 - de_18_6,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Thaali,sec_1 - de_18 - de_18_60,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Rasam rice,sec_1 - de_18 - de_18_61,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Idly vada,sec_1 - de_18 - de_18_62,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Curd rice,sec_1 - de_18 - de_18_63,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Kebabs,sec_1 - de_18 - de_18_64,,Kebab lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Kachori,sec_1 - de_18 - de_18_65,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Sev on everything,sec_1 - de_18 - de_18_66,,Indian food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Soba,sec_1 - de_18 - de_18_7,,Japanese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Motsu hot pot,sec_1 - de_18 - de_18_8,,Japanese food lover,
descriptor,,,WHO_I_AM,Lifestyle - Soul Food - Salad,sec_1 - de_18 - de_18_9,,Salad lover,
descriptor,,,WHO_I_AM,Lifestyle - Covid Comfort - Virtual only,sec_1 - de_19 - de_19_1,,Fully distancing for covid,
descriptor,,,WHO_I_AM,Lifestyle - Covid Comfort - Mask & distanced,sec_1 - de_19 - de_19_2,,Partially distancing for covid,
descriptor,,,WHO_I_AM,Lifestyle - Covid Comfort - Socially distanced,sec_1 - de_19 - de_19_3,,Partially distancing for covid,
descriptor,,,WHO_I_AM,Lifestyle - Covid Comfort - Mask up,sec_1 - de_19 - de_19_4,,Masked for covid,
descriptor,,,WHO_I_AM,Lifestyle - Covid Comfort - No mask & no distance,sec_1 - de_19 - de_19_5,,No longer distancing for covid,
descriptor,,,WHO_I_AM,Lifestyle - Siblings - Only child,sec_1 - de_20 - de_20_1,,Only child,
descriptor,,,WHO_I_AM,Lifestyle - Siblings - Brother,sec_1 - de_20 - de_20_2,,Has a sibling,
descriptor,,,WHO_I_AM,Lifestyle - Siblings - Sister,sec_1 - de_20 - de_20_3,,Has a sibling,
descriptor,,,WHO_I_AM,Lifestyle - Siblings - Two siblings,sec_1 - de_20 - de_20_4,,Has multiple siblings,
descriptor,,,WHO_I_AM,Lifestyle - Siblings - Lots of siblings,sec_1 - de_20 - de_20_5,,Has multiple siblings,
descriptor,,,WHO_I_AM,Lifestyle - Social Style - Life of the party,sec_1 - de_21 - de_21_1,,Extroverted,
descriptor,,,WHO_I_AM,Lifestyle - Social Style - Introvert,sec_1 - de_21 - de_21_2,,Introverted,
descriptor,,,WHO_I_AM,Lifestyle - Social Style - Introverted extrovert,sec_1 - de_21 - de_21_3,,Enjoys intimate social settings,
descriptor,,,WHO_I_AM,Lifestyle - Social Style - Couch potato,sec_1 - de_21 - de_21_4,,Introverted,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - I don't drink,sec_1 - de_22 - de_22_1,,Non-drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - Sober curious,sec_1 - de_22 - de_22_10,,Social drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - On special occasions,sec_1 - de_22 - de_22_11,,Social drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - Socially on weekends,sec_1 - de_22 - de_22_12,,Social drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - Most Nights,sec_1 - de_22 - de_22_13,,Frequent drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - I sometimes drink,sec_1 - de_22 - de_22_2,,Occasional drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - I often drink,sec_1 - de_22 - de_22_3,,Frequent drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - I drink every day,sec_1 - de_22 - de_22_4,,Frequent drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - I even drink alone,sec_1 - de_22 - de_22_5,,Frequent drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - Only socially,sec_1 - de_22 - de_22_6,,Social drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - Currently abstinent,sec_1 - de_22 - de_22_7,,Non-drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - Not for me,sec_1 - de_22 - de_22_8,,Non-drinker,
descriptor,,,WHO_I_AM,Lifestyle - Drinking - Sober,sec_1 - de_22 - de_22_9,,Non-drinker,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I hang out with friends on weekends,sec_1 - de_23 - de_23_1,,Weekends are for friends,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I play games on weekends,sec_1 - de_23 - de_23_10,,Gamer,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I watch anime on weekends,sec_1 - de_23 - de_23_11,,Enjoys culture on weekends,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I go shopping on weekends,sec_1 - de_23 - de_23_2,,Enjoys shopping,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I drink with friends on weekends,sec_1 - de_23 - de_23_3,,Prefers nightlife on weekends,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I read books on weekends,sec_1 - de_23 - de_23_4,,Enjoys reading,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I sleep till afternoon on weekends,sec_1 - de_23 - de_23_5,,Relaxes on weekends,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I chill at home on weekends,sec_1 - de_23 - de_23_6,,Relaxes on weekends,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I spend time outdoors on weekends,sec_1 - de_23 - de_23_7,,Enjoys the outdoors,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I go to gym on weekends,sec_1 - de_23 - de_23_8,,Prefers gym-based fitness routines,
descriptor,,,WHO_I_AM,Lifestyle - Weekend Mood - I watch movies on weekends,sec_1 - de_23 - de_23_9,,Enjoys culture on weekends,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Extroverted,sec_1 - de_24 - de_24_1,,Extroverted,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Comfort-seeking,sec_1 - de_24 - de_24_10,,All about comfort and simplicity,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Original,sec_1 - de_24 - de_24_11,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Diligent,sec_1 - de_24 - de_24_12,,Organized and detail-oriented,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Leader type,sec_1 - de_24 - de_24_13,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Organized,sec_1 - de_24 - de_24_14,,Organized and detail-oriented,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Cheerful,sec_1 - de_24 - de_24_15,,Cheerful,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Quick-witted,sec_1 - de_24 - de_24_16,,Appreciates good humor,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Stubborn,sec_1 - de_24 - de_24_17,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Analytical,sec_1 - de_24 - de_24_18,,Logical and analytical,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Relaxed,sec_1 - de_24 - de_24_19,,All about comfort and simplicity,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Introverted,sec_1 - de_24 - de_24_2,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Tolerant,sec_1 - de_24 - de_24_20,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Tidy,sec_1 - de_24 - de_24_21,,Organized and detail-oriented,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Free-spirited,sec_1 - de_24 - de_24_22,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Debate lover,sec_1 - de_24 - de_24_23,,Logical and analytical,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Shy,sec_1 - de_24 - de_24_24,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Gentle,sec_1 - de_24 - de_24_25,,All about comfort and simplicity,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Independent,sec_1 - de_24 - de_24_26,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Outgoing,sec_1 - de_24 - de_24_27,,Extroverted,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Reserved,sec_1 - de_24 - de_24_28,,Reserved and introspective,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - I get along well with anybody,sec_1 - de_24 - de_24_29,,Extroverted,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Bold,sec_1 - de_24 - de_24_3,,Independent and bold,
descriptor,,,WHO_I_AM,Lifestyle - My Personality - Playful,sec_1 - de_24 - de_24_30,,Appreciates good humor,
